algorithm,wins,scenarios,win_rate,avg_best_objective,avg_mean_objective,avg_runtime,avg_delta_vs_best
bayes,1,1,1.0,-75039.791,-75039.791,1.3865,0.0
grid,1,1,1.0,-75039.791,-75039.791,1.3475,0.0
ils,1,1,1.0,-75039.791,-75039.791,4.873,0.0
random,1,1,1.0,-75039.791,-75039.791,1.3965,0.0
tabu,1,1,1.0,-75039.791,-75039.791,14.368,0.0
