scenario,bundle,best_algorithm,best_objective,second_best_delta,mip_objective,mip_gap,algorithms_evaluated
baseline:med42,baseline,tabu,21.128,493.3010000000001,,,5
baseline:minitoy,baseline,bayes,38.0,2.5,,,5
baseline:small21,baseline,tabu,12.652,3.576999999999982,,,5
synthetic-small,standalone,random,39.791000000000004,0.0,,,5
