algorithm,wins,scenarios,win_rate,avg_best_objective,avg_mean_objective,avg_runtime,avg_delta_vs_best
tabu,2,3,0.6666666666666666,16.76,16.76,0.8233333333333333,-7.166666666666667
bayes,1,3,0.3333333333333333,-141.69933333333336,-252.5308444444445,0.42055555555555557,-165.62600000000003
grid,0,3,0.0,-245.50966666666673,-274.6188333333334,0.2813333333333334,-269.43633333333344
ils,0,3,0.0,-365.3233333333333,-365.3233333333333,0.3793333333333333,-389.25
random,0,3,0.0,-226.4576666666667,-288.4958333333334,0.24349999999999997,-250.38433333333342
