algorithm,wins,scenarios,win_rate,avg_best_objective,avg_mean_objective,avg_runtime,avg_delta_vs_best
tabu,3,4,0.75,-22657.412296500002,-22657.412296500002,23.291,-22.904742499998974
bayes,2,4,0.5,-22639.751054000004,-23988.052180125003,2.2004375,-5.24350000000004
ils,2,4,0.5,-23201.295637000003,-23201.295637000003,9.66425,-566.788082999999
grid,1,4,0.25,-23295.441290500003,-24095.308698375004,2.1396249999999997,-660.9337364999992
random,1,4,0.25,-23705.385014500003,-24405.788850250003,2.408,-1070.8774605
