scenario,bundle,algorithm,best_objective,mean_objective,mean_runtime,delta_vs_best
baseline:med42,baseline,bayes,-35485.30078800001,-40830.471292500006,5.290125,0.0
baseline:med42,baseline,grid,-38097.273734,-41251.381365500005,5.17775,-2611.9729459999944
baseline:med42,baseline,ils,-37752.40312,-37752.40312,25.59,-2267.102331999995
baseline:med42,baseline,random,-39725.87863000001,-42522.43297300001,5.9985,-4240.577841999999
baseline:med42,baseline,tabu,-35576.919758000004,-35576.919758000004,56.079,-91.6189699999959
baseline:small21,baseline,bayes,15627.570819999995,15607.531569999994,1.72225,-10.226000000000568
baseline:small21,baseline,grid,15616.782819999993,15595.416319999995,1.654,-21.014000000002852
baseline:small21,baseline,ils,15637.746819999995,15637.746819999995,6.518,-0.050000000001091394
baseline:small21,baseline,random,15637.606819999994,15632.545819999994,1.908,-0.1900000000023283
baseline:small21,baseline,tabu,15637.796819999996,15637.796819999996,18.148,0.0
baseline:tiny7,baseline,bayes,4338.516752,4310.522002000001,0.402875,-10.747999999999593
baseline:tiny7,baseline,grid,4338.516752,4314.5212520000005,0.37925,-10.747999999999593
baseline:tiny7,baseline,ils,4349.264752,4349.264752,1.676,0.0
baseline:tiny7,baseline,random,4306.522752000001,4306.522752000001,0.329,-42.74199999999928
baseline:tiny7,baseline,tabu,4349.264752,4349.264752,4.569,0.0
synthetic-small,standalone,bayes,-75039.791,-75039.791,1.3865,0.0
synthetic-small,standalone,grid,-75039.791,-75039.791,1.3475,0.0
synthetic-small,standalone,ils,-75039.791,-75039.791,4.873,0.0
synthetic-small,standalone,random,-75039.791,-75039.791,1.3965,0.0
synthetic-small,standalone,tabu,-75039.791,-75039.791,14.368,0.0
