day,shift_id,machine_id,machine_role,sample_id,production_units,total_hours,idle_hours,mobilisation_cost,sequencing_violations,blackout_conflicts,available_hours,utilisation_ratio,downtime_hours,downtime_events,weather_severity_total
2,S1,H2,grapple_skidder,0,1.746,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
3,S1,H1,feller_buncher,0,2.066,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
3,S1,H2,grapple_skidder,0,1.746,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
3,S1,H3,processor,0,2.051,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
3,S1,H4,loader,0,2.266,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
4,S1,H1,feller_buncher,0,2.066,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
4,S1,H2,grapple_skidder,0,1.746,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
4,S1,H3,processor,0,2.051,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
4,S1,H4,loader,0,2.266,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
5,S1,H1,feller_buncher,0,2.062,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
5,S1,H2,grapple_skidder,0,2.3,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
5,S1,H3,processor,0,2.051,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
5,S1,H6,processor,0,2.32,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
6,S1,H1,feller_buncher,0,2.062,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
6,S1,H2,grapple_skidder,0,2.3,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
6,S1,H3,processor,0,2.051,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
8,S1,H1,feller_buncher,0,2.062,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
9,S1,H1,feller_buncher,0,2.051,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
9,S1,H2,grapple_skidder,0,2.49,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
9,S1,H6,processor,0,2.32,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
10,S1,H1,feller_buncher,0,2.051,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
10,S1,H2,grapple_skidder,0,2.49,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
10,S1,H6,processor,0,2.32,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
11,S1,H1,feller_buncher,0,2.051,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
11,S1,H2,grapple_skidder,0,2.49,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
11,S1,H3,processor,0,2.039,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
12,S1,H3,processor,0,2.039,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
12,S1,H8,loader,0,2.336,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
13,S1,H1,feller_buncher,0,1.979,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
13,S1,H2,grapple_skidder,0,2.161,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
13,S1,H3,processor,0,1.836,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
13,S1,H4,loader,0,2.579,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
13,S1,H6,processor,0,2.181,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
15,S1,H1,feller_buncher,0,1.979,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
15,S1,H2,grapple_skidder,0,2.161,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
15,S1,H3,processor,0,1.836,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
15,S1,H4,loader,0,2.579,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
15,S1,H6,processor,0,2.181,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
15,S1,H7,grapple_skidder,0,2.082,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
16,S1,H1,feller_buncher,0,2.297,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
16,S1,H3,processor,0,1.836,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
16,S1,H4,loader,0,2.907,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
16,S1,H6,processor,0,2.181,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
17,S1,H1,feller_buncher,0,2.297,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
17,S1,H3,processor,0,1.836,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
17,S1,H6,processor,0,2.181,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
17,S1,H7,grapple_skidder,0,2.082,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
18,S1,H3,processor,0,1.836,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
18,S1,H4,loader,0,2.32,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
18,S1,H5,feller_buncher,0,2.165,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
18,S1,H8,loader,0,2.336,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
19,S1,H1,feller_buncher,0,2.534,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
19,S1,H3,processor,0,0.0,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
19,S1,H4,loader,0,2.32,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
19,S1,H8,loader,0,2.622,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
20,S1,H2,grapple_skidder,0,3.13,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
20,S1,H4,loader,0,2.957,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
20,S1,H5,feller_buncher,0,3.175,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
20,S1,H7,grapple_skidder,0,3.717,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
20,S1,H8,loader,0,2.622,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
22,S1,H1,feller_buncher,0,2.534,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
22,S1,H2,grapple_skidder,0,2.299,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
22,S1,H4,loader,0,2.957,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
22,S1,H5,feller_buncher,0,3.175,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
22,S1,H7,grapple_skidder,0,3.717,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
22,S1,H8,loader,0,2.622,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
23,S1,H2,grapple_skidder,0,2.299,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
23,S1,H4,loader,0,2.957,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
24,S1,H4,loader,0,2.989,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
24,S1,H5,feller_buncher,0,3.175,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
24,S1,H6,processor,0,2.966,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
24,S1,H8,loader,0,2.622,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
25,S1,H1,feller_buncher,0,2.808,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
25,S1,H3,processor,0,2.908,24.0,0.0,50.0,0,0,24.0,1.0,0.0,0,0.0
25,S1,H4,loader,0,2.989,24.0,0.0,0.0,0,0,24.0,1.0,0.0,0,0.0
