page,row,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
80,1,"without delays, T = total time.",,,,,,,,,,
80,2,Authors,Note,N,HM,M,BM,Pr Machine Model,Head Model Deb  MTC,,,
80,3,Ackerman et al. (2018),,-,CTL,H,EB,CT Volvo EC-210-BF,Maskiner SP-591LX  Yes No,,,
80,4,,,-,CTL,H,PB,CT TimberPro TL-725B,Maskiner SP-591LX Yes No,,,
80,5,Ackerman et al. (2021),,2,CTL,H,PB,RW Ponsse Bear,Ponsse H8 No -,,,
80,6,,,2,CTL,H,PB,RW Ponsse Beaver,Ponsse H6 No -,,,
80,7,Ackerman et al. (2022),,-,CTL,HW,PB,RW  Malwa 560C,Log Max 928A No No,-,,
80,8,Acosta et al. (2021),,-,CTL,H,EB,CT CAT 315D,Log Max 5000 No No,,,
80,9,Acuna et al. (2017),,-,CTL,H,EB,CT CAT 322L,Waratah HTH620  Yes No,-,,
80,10,Alam et al. (2014),,-,CTL,H,PB,CT Valmet 475EX,"Rosin 997 (2006 model, no. 5)  No No",-,,
80,11,,,-,CTL,H,PB,CT Valmet 475EX,"Rosin 997 (2006 model, no. 2)  No No",-,,
80,12,Apăfăian et al. (2017),,-,CTL,H,PB,RW Valmet 911.4,Valmet 360.2 No No,,,
80,13,Berendt et al. (2020),,-,CTL,H,PB,RW 405FH4 8WD,Waratah H415 No No,,,
80,14,Berg et al. (2014),*Whole tree is uprooted,-,CTL,H Sim,PB,RW -,John Deere H480C No No,-,,
80,15,,,-,*FT,FB Sim  PB,,RW Timberpro TB830-B,- No No,-,,
80,16,Bergström & Di Fulvio (2014),,-,CTL,H,PB,RW Ecolog 560 D,MAMA No Yes,,,
80,17,,,-,FT,FB,PB,RW Ecolog 560 D,C16 No Yes,,,
80,18,Bergström et al. (2016),,-,B (FT)  FB,,PB,RW Logman 811 FC,Nisula 280E+ No Yes,,,
81,1,Bergström et al. (2022),*Trees could be cut in,- *FT,FB,PB,RW,Valmet 901.4,Bracke C16.c No,Yes,,
81,2,,multiple parts,,,,,,,,,
