page,row,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
90,15,Ghaffariyan et al. (2013),Eucalyptus globulus,-,0.21 m³,17.8 cm,-,-,Flat,1,
90,16,Ghaffariyan et al. (2015),Pinus radiata,32,1.53 m³,*(42.0-42.1) cm,Firm,Even,Flat,1,
90,17,Green et al. (2020),"Pseudotsuga menziesii,",60,-,*(48.3-49.5) cm,Price Soils,-,"*(27-30), (7-50)%",2,
90,18,,"Abies grandis, Acer",,,,,,,,
90,19,,macrophyllum,,,,,,,,
90,20,Grönlund & Eliasson (2019),"Birch, Spruce",*(14-25),-,*(4.1-12.0) cm,-,-,-,-,
90,21,Gülci et al. (2021),Pinus pinaster,-,0.38 m³,23.13 cm,-,-,16%,1,
90,22,Han et al. (2018),Pinus contorta var. latifolia,-,-,22.4 cm,-,-,Relatively Flat,-,
90,23,Hiesl & Benjamin (2013),"Fagus grandifolia, Acer",-,-,(10-63) cm,-,-,(2-14)%,6,
90,24,,"rubrum, Betula",,,,,,,,
90,25,,"alleghaniensis, Betula",,,,,,,,
90,26,,"papyrifera, Populus",,,,,,,,
90,27,,"tremuloides, Abies",,,,,,,,
90,28,,"balsamea, Picea rubens,",,,,,,,,
90,29,,"Tsuga Canadensis, Thuja",,,,,,,,
90,30,,occidentalis,,,,,,,,
91,1,Hiesl & Benjamin (2015),"Abies balsamea, Picea",-,-,"*(13-20), (10-58) cm",-,-,(1-5)%,4,
91,2,,"rubens, Tsuga Canadensis,",,,,,,,,
91,3,,"Thuja occidentalis, Fagus",,,,,,,,
91,4,,"grandifolia, Acer rubrum,",,,,,,,,
91,5,,"Betula alleghaniensis,",,,,,,,,
91,6,,"Betula papyrifera, Populus",,,,,,,,
91,7,,tremuloides,,,,,,,,
91,8,Hiesl et al. (2015),"Abies balsamea, Picea",-,*(0.03-0.17) m³,*(9.6-18.7) cm,-,-,-,2,
91,9,,"rubens, Populus",,,,,,,,
91,10,,"tremuloides, Betula",,,,,,,,
91,11,,"papyrifera, Betula",,,,,,,,
91,12,,"alleghaniensis, Pinus",,,,,,,,
91,13,,"strobus, Thuja occidentalis",,,,,,,,
91,14,Holzleitner & Kanzian (2022),"*Picea abies, Larix decidua,",56,0.8 m³,28.7 cm,-,Without Major,10%,-,
91,15,,"Quercus robur, Fagus",,,,,Obstacles,,,
91,16,,"sylvatica, Betula pendula",,,,,,,,
91,17,Horváth et al. (2016),"Black locust, Beech, Turkey",-,-,-,-,-,-,-,
91,18,,"oak, Hornbeam, Noble",,,,,,,,
91,19,,"poplar, Spruce, Scots pine,",,,,,,,,
91,20,,Black pine,,,,,,,,
91,21,Jernigan et al. (2015),Pine,11,0.14 green tons,-,-,-,Minimum Slope,-,
91,22,Jylhä & Bergström (2016),"Pinus sylvestris, Picea abies,",22.7,"20.1 *(0.6-70.8) dm³,",44.5 *(10.0-98.0) mm,-,-,-,1,
91,23,,"Betula pubescens, Betula",*(13.6-,whole tree volume,,,,,,
91,24,,"Pendula, Other",29.3),,,,,,,
91,25,Kärhä et al. (2018a),"Norway spruce, Scots pine,",-,0.76 *(0.70-0.85) m³,-,-,-,-,3,
91,26,,Betula spp,,,,,,,,
91,27,Kärhä et al. (2018b),"Picea abies, Pinus sylvestris,",-,226 *(128-247) dm³,-,Normal To Difficult,Normal To Difficult,Normal To Difficult,11,
91,28,,"Betula verrucosa, Betula",,,,,,,,
91,29,,"pubescens, Populus tremula",,,,,,,,
