page,table,author,model,harvest_method,machine_type,base_machine,propulsion,dv_type,units,formula
113,1,Santos et al. (2022),1,CTL,H,PB,CT,PV,(m³ h⁻¹)-D,a+bV₃-cV₃d
113,1,Santos et al. (2021),1,CTL,H,PB,CT,PV,(m³ h⁻¹)-D,a+bV₁-cV₁d
113,1,Santos et al. (2020),1,CTL,H,PB,CT,M,move (s),a+bE₁c+dE₂e-fE₁E₂
113,1,Santos et al. (2020),2,CTL,H,PB,CT,E,fell (s),a+bE₁c+dE₂e-fE₁E₂
113,1,Santos et al. (2020),3,CTL,H,PB,CT,E,process (s),a-bE₁+cE₁d-eE₂+fE₂g+hE₁E₂
113,1,Santos et al. (2020),4,CTL,H,PB,CT,M,move (s),a-bE₁c-dE₂e
113,1,Santos et al. (2020),5,CTL,H,PB,CT,E,fell (s),a-bE₁c-dE₂e
113,1,Santos et al. (2020),6,CTL,H,PB,CT,E,process (s),a+bE₁c+dE₂e-fE₁E₂
113,1,Santos et al. (2020),7,CTL,H,PB,CT,PV,(m³ h⁻¹)-U,a-bE₁c-dE₂e+fE₁E₂
113,1,Santos et al. (2020),8,CTL,H,PB,CT,PV,(m³ h⁻¹)-U,-a+bE₂+cE₁d
113,1,Schweier et al. (2015),1,FT,FB,EB,CT,W,cycle (s),a+bB₁₃+cN₈
113,1,Schweier et al. (2015),2,FT,FB,EB,CT,W,cycle (s),a+bB₁₃+cN₈
113,1,Schweier et al. (2015),3,FT,FB,EB,CT,W,cycle (s),a+bB₁₃
113,1,Schweier et al. (2015),4,FT,FB,EB,CT,W,cycle (s),a+bB₁₃
113,1,Schweier et al. (2015),5,FT,FB,EB,CT,W,cycle (s),a-bB₁₃+cB₁₃d
113,1,Slugeň et al. (2014),1,CTL,H,PB,RW,E,process (min),-a+bO₁₁
113,1,Soman et al. (2020),1,FT,FB,PB,CT,W,log cycle (min),a+bA₁+cN₃
113,1,Soman et al. (2020),2,FT,FB,PB,CT,W,log cycle (min),a+bO₈
113,1,Soman et al. (2020),3,FT,FB,PB,CT,W,log cycle (min),a+bA₁+cA₃+dN₃
113,1,Soman et al. (2019),1,FT,FB,PB,CT,W,cycle (s),a+bA₁+cD₁₁+dA₃+eN₃
113,1,Soman et al. (2019),2,FT,FB,PB,CT,W,cycle (s),a+bA₁+cD₁₁+dA₃+eN₃-fM₁
113,1,Sperandio et al. (2021),1,*FT,FB,EB,CT,E,fell (s),aB₁₄-b
113,1,Sperandio et al. (2021),2,*FT,FB,EB,CT,E,fell (s),aB₁₄b
113,1,Sperandio et al. (2021),3,*FT,FB,EB,CT,PW,(ton h15⁻¹),aB₁₄b
113,1,Sperandio et al. (2021),4,*FT,FB,EB,CT,PW,(ton h15⁻¹),aB₁₄b
113,1,Spinelli et al. (2014),1,FT,"FB, FB",,"PB, EB  CT",PW,(ton SMH⁻¹)-D,
113,1,Spinelli & De Arruda Moura,1,CTL,H,EB,CT,PV,(m³ub h⁻¹),
113,1,Spinelli et al. (2022),1,CTL,H,PB,RW,PW,(Bone dry ton SMH⁻¹)*,a-bB₃-cE₉-dE₉
