,,"such as Aspen, A","lder, Rowan",,,,,,,,,
,,,,,,,,,,,,
,,and Willow,,,,,,,,,,
,,,,,,,,,,,,
Laitila & Väät,äinen (2021),"Pinus sylvestris,","Picea abies,",-,(6-54) dm³,41 *(21-97),"mm, stump",-,-,-,1,20 Years Ex
,,,,,,,,,,,,
,,Betula pubescen,"s, Other",,,diameter,,,,,,
,,,,,,,,,,,,
,,broadleaved tree,species,,,,,,,,,
,,,,,,,,,,,,
,,"such as Aspen, A","lder,",,,,,,,,,
,,,,,,,,,,,,
,,"Rowan, and Will",ow,,,,,,,,,
,,,,,,,,,,,,
Laitila & Väät,äinen (2023),"Pinus sylvestris,","Picea abies,",(15-25),*(14.2-52.0) dm³,*(51-97) mm,,1 - Anon. (1990),1 - Anon. (1990),1 - Anon. (1990),1,1 Year Expe
,,,,,,,,,,,,
,,"Betula pendula,",Other,,,,,,,,,
,,,,,,,,,,,,
,,broadleaves,,,,,,,,,,
,,,,,,,,,,,,
Laitila et al. (2,013),Pinus sylvestris,,-,-,*(14.5-15.1),cm,Drained Peatland,-,-,1,13 Years Ex
,,,,,,,,,,,,
Laitila et al. (2,020),"*Scots pine, Nor","way spruce,",-,-,-,,Ditched Peatland,-,-,1,>20 Years
,,,,,,,,,,,,
,,Downy birch,,,,,,,,,,Experience
,,,,,,,,,,,,
Lazdiņš et al.,(2019),"Pine, Spruce",,-,-,*(17.2-19.2),cm,Dry Sandy Mineral Soils,-,-,-,Trained
,,,,,,,,,,,,
Lazdiņš (2014,),"Spruce, Grey ald","er, Black",-,-,9 cm,,-,-,-,-,Had Previou
,,,,,,,,,,,,
,,"alder, Birch",,,,,,,,,,Experience
,,,,,,,,,,,,
Lazdiņš et al.,(2021),Betula pendula,,-,0.06 m³,12 cm,,-,-,-,-,Experienced
,,,,,,,,,,,,
Lazdiņš et al. (,2016),Spruce,,-,-,*(9.7-10.9) c,m,-,-,-,-,Experienced
,,,,,,,,,,,,
Leszczyński et,al. (2021),Scots pine,,25,*(0.074-0.103) m³,*(11.7-13.5),cm,-,-,-,-,-
,,,,,,,,,,,,
Liski et al. (20,20),"Pine, Spruce, Bi","rch, Other",-,0.2741 (0.033-1.267) m³,-,,-,-,-,27,-
,,,,,,,,,,,,
,,broadleaves,,,,,,,,,,
,,,,,,,,,,,,
Louis & Kizha,(2021),"Picea rubens, Ac",er,-,*(0.05-0.12) m³,-,,Ragmuff-Monson Complex,-,(3-35)%,-,-
,,,,,,,,,,,,
,,"saccharum, Ace",r,,,,,"(38%), Telos-Chesuncook-",,,,
,,,,,,,,,,,,
,,"pensylvanicum,",Picea,,,,,"Ragmuff Association (27%),",,,,
,,,,,,,,,,,,
,,"mariana, Betula",,,,,,And Chesuncook-,,,,
,,,,,,,,,,,,
,,"alleghaniensis, F",agus,,,,,Elliottsville Association,,,,
,,,,,,,,,,,,
,,grandifolia,,,,,,(23%),,,,
,,,,,,,,,,,,
Magagnotti et,al. (2021),Populus x euroa,mericana,8,"0.087 (0.074-0.103) m³,",12 cm,,-,-,-,-,Experienced
,,,,,,,,,,,,
,,,,,whole above ground,,,,,,,
,,,,,,,,,,,,
,,,,,biomass,,,,,,,
