Labelle et al. (2,017),Article,Europe,Germany,Time study,,"Handheld Pc,",Video Cam
,,,,,,,,
Labelle et al. (2,018),Article,Europe,Germany,Time study,,Juniper Allegr,o Handhel
,,,,,,,,
Labelle & Huß,(2018),Article,Europe,Germany,Time study,,Digital Video,Camera
,,,,,,,,
Labelle et al. (2,016),Article,North America,Canada,Time study,,Digital Video,Camera
,,,,,,,,
Labelle et al. (2,019),Article,Europe,Germany,Time study,,Handheld Pc,
,,,,,,,,
Laina et al. (20,13),Article,Europe,Spain,Time study,,Psion Workab,out Handh
,,,,,,,,
Laitila et al. (2,016),Article,Europe,Finland,Time study,,Rufco-900 Ha,ndheld Pc
,,,,,,,,
Laitila & Väätä,inen (2014),Article,Europe,Finland,Time study,,Rufco-900 Ha,ndheld Pc
,,,,,,,,
Laitila & Väätä,inen (2020),Article,Europe,Finland,Time study,,Rufco-900 Ha,ndheld Pc
,,,,,,,,
Laitila & Väätä,inen (2021),Article,Europe,Finland,Time study,,Rufco-900 Ha,ndheld Pc
,,,,,,,,
Laitila & Väätä,inen (2023),Article,Europe,Finland,Time study,,Gopro 7 Came,"ra, Rufco-"
,,,,,,,,
Laitila et al. (2,013),Article,Europe,Finland,Time study,,Rufco-900 Ha,ndheld Pc
,,,,,,,,
Laitila et al. (2,020),Article,Europe,Finland,Time study,,Gopro 6 Came,"ra, Handh"
,,,,,,,,
Lazdiņš et al. (,2019),Proceedings Paper,Europe,Latvia,Time study,,-,
,,,,,,,,
Lazdiņš (2014),,Conference paper,Europe,Latvia,Time study,,-,
,,,,,,,,
Lazdiņš et al. (,2021),Proceedings Paper,Europe,Latvia,Time study,,Hand-Held Da,ta Logger
,,,,,,,,
Lazdiņš et al. (,2016),Article,Europe,Sweden,Time study,,Allegro Cx Ha,ndheld Pc
,,,,,,,,
Leszczyński et,al. (2021),Article,Europe,Poland,Time study,,Psion Workab,out Data R
,,,,,,,,
Liski et al. (20,20),Article,Europe,Finland,Follow-up,study,-,
,,,,,,,,
Louis & Kizha,(2021),Article,North America,United States,Time study,,Analog Stopw,atch
,,,,,,,,
Magagnotti et,al. (2021),Article,Europe,Poland,Time study,,-,
,,,,,,,,
Manner et al. (,2023),Article,Europe,Sweden,Time study,,Stopwatch,
,,,,,,,,
McEwan et al.,(2016),Article,Africa,South Africa,Time study,,Husky Hunter,Handheld
,,,,,,,,
Mederski et al.,(2016),Article,Europe,Poland,Time study,,-,
,,,,,,,,
Norihiro et al.,(2018),Article,Africa,South Africa,Time study,,Trimble Geoxt,Handheld
,,,,,,,,
Nuutinen & Bj,örheden (2016),Article,Europe,Finland,Time study,,Rufco Dl 2 Ha,ndheld Pc
,,,,,,,,
Olivera et al. (2,016),Article,South America,Uruguay,Follow-up,study,-,
,,,,,,,,
Petitmermet et,al. (2019),Article,North America,United States,Time study,,Gopro Hero Si,lver 4 Ca
,,,,,,,,
Petty & Kärhä,(2014),Article,Europe,Finland,Time study,,-,
,,,,,,,,
Polowy & Mol,ińska-Glura (2023),Article,Europe,Poland,Follow-up,study,-,
,,,,,,,,
Prinz et al. (20,21),Article,Europe,Finland,Time study,,"Datalogger, D",igital Vide
,,,,,,,,
Ramantswana,et al. (2013),Article,Africa,South Africa,Time study,,Trimble Noma,d 900 Han
