Appendix 2. Information r,egarding,the incl,uded pu,blications,,,
,,,,,,,
Information regarding the publications included,in the review.,TOWS = type,of work study.,,,,
,,,,,,,
Author(s) Note,Publ. Type,Continent,Country,TOWS,Equipment for man,ual data,collection
,,,,,,,
Ackerman et al. (2018),Article,Africa,South Africa,Time study,Trimble Geo-Xm Ha,ndheld P,c
,,,,,,,
Ackerman et al. (2021),Article,Africa,South Africa,Follow-up study,-,,
,,,,,,,
Ackerman et al. (2022),Article,Africa,South Africa,Time study,Purpose-Built Time,Study Ap,p (Forest Ope
,,,,,,,
Acosta et al. (2021),Article,South America,Brazil,Time study,2 Stopwatches,,
,,,,,,,
Acuna et al. (2017),Article,Australia,Australia,Time study,Hanhart 2656 1/100,Minute D,igital Stopwa
,,,,,,,
,,,,,"Recorder, Camera",,
,,,,,,,
Alam et al. (2014),Article,Australia,Australia,Time study,Digital Video Came,ra,
,,,,,,,
Apăfăian et al. (2017),Article,Europe,Romania,Time study,Traveler Dc-12 Digi,tal Video,Camera
,,,,,,,
Berendt et al. (2020),Article,Europe,Germany,Time study,Digital Stopwatch,,
,,,,,,,
Berg et al. (2014),Article,Europe,Sweden,Simulation,-,,
,,,,,,,
Bergström & Di Fulvio (2014),Article,Europe,Sweden,Time study,Allegro Field Pc,,
,,,,,,,
Bergström et al. (2016),Article,Europe,Sweden,Time study,Allegro Field Pc,,
,,,,,,,
Bergström et al. (2022),Article,Europe,"Sweden, Finland,",Time study,Sony X1000Vr Cam,"era, Sony",Fdr-X3000R
,,,,,,,
,,,Slovenia,,"Pc, Trimble Nomad",900 Hand,held Pc
,,,,,,,
Bilici et al. (2019),Article,Asia,Turkey,Time study,Chronometer,,
,,,,,,,
Brewer et al. (2018),Article,Africa,South Africa,"Time study, Follow-up study",Android Application,(Time St,udy App)
,,,,,,,
Brown et al. (2013),Article,Australia,Australia,Time study,Digital Video Came,ra,
,,,,,,,
Carter et al. (2017),Article,North America,United States,Time study,Centi-Minute Flybac,k Stopwa,tch
,,,,,,,
Chakroun et al. (2016),Article,Europe,France,Time study,Panasonic Toughbo,ok Cf-U1,Rugged Ultra
,,,,,,,
Chung et al. (2022),Article,North America,United States,Time study,"Stopwatches, Video",Recorder,
