,,,-,FT,FB DT,PB,RW,CAT 573 C,,-,,No,Yes,-,Restoration,Harvest
,,,,,,,,,,,,,,,,
,,,-,FT,FB,PB,CT,TimberPro,TL735 B,-,,No,Yes,-,Restoration,Harvest
,,,,,,,,,,,,,,,,
,,,-,CTL,H,EB,CT,John Deere,240D,Logmax 700,0 XT,No,Yes,-,Restoration,Harvest
,,,,,,,,,,,,,,,,
Walsh &,S,trandgard (2014),-,CTL,H,PB,CT,Timbco 475,,Rosin 997,,No,No,-,Clearcutting,
,,,,,,,,,,,,,,,,
Walsh et,a,l. (2014),-,CTL,H,PB,CT,Tigercat H8,60C,Waratah HT,H624C-Super,No,No,-,Unspecified,Harvesting
,,,,,,,,,,,,,,,,
Williams,,& Ackerman (2016),-,CTL,H,PB,CT,John Deere,753,Waratah HT,H623C,No,No,T-628.3 min,Clearcutting,
,,,,,,,,,,,,,,,,
Zimelis e,t,al. (2020),-,CTL,H,PB,RW,Malwa,,-,,No,No,-,Selective Fel,ling
,,,,,,,,,,,,,,,,
Zimelis e,t,al. (2018),-,CTL,H,PB,RW,Vimek 404,SE,Keto Forest,Eco,No,No,-,Thinning,
,,,,,,,,,,,,,,,,
,,,-,CTL,H,PB,RW,Vimek 404,SE,Keto Forest,Extreme,No,No,-,Thinning,
,,,,,,,,,,,,,,,,
Zimelis e,t,al. (2019),-,CTL,H,PB,RW,Vimek 404,SE,Bracke C.12,,No,No,-,"Thinning, Fi","nal Felling,"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ditch Cleari,ng
,,,,,,,,,,,,,,,,
,,,-,CTL,H,PB,RW,Vimek 404,SE,Keto-Forest,Eco,No,No,-,"Thinning, Fi","nal Felling,"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ditch Cleari,ng
,,,,,,,,,,,,,,,,
Zimelis e,t,al. (2017a),-,CTL,H,PB,RW,Ponsse Ergo,,H7,,No,No,-,Final Felling,
,,,,,,,,,,,,,,,,
Zimelis e,t,al. (2017b),-,CTL,H,PB,RW,Vimek 404,T5,-,,No,No,-,Thinning,
,,,,,,,,,,,,,,,,
Zimelis &,,Spalva (2022),-,CTL,H,PB,RW,Malwa 560,H,-,,No,-,-,Thinning,
,,,,,,,,,,,,,,,,
Zimelis e,t,al. (2016),-,CTL,H,EB,CT,New Hollan,d 215B,Ponsse H7,,No,Yes,T-174 hours,Ditch Cleani,ng/Harvest
