Bergström et al. (2,022),,*Trees could,be cut,in,-,*FT,FB,PB,RW,Valmet 9,01.4,Bracke C16.c,No,Yes,P-56.07 hours,Selective Thinning,From,Be,"low, B",oom-C
,,,,,,,,,,,,,,,,,,,,,
,,,multiple part,s,,,,,,,,,,,,,Thinning,,,,
,,,,,,,,,,,,,,,,,,,,,
Bilici et al. (2019),,,*Taller trees,cut in,two parts,-,*FT/FT,FB,EB,CT,-,,Westtech Woodcracker C450,No,No,-,Clearcutting,,,,
,,,,,,,,,,,,,,,,,,,,,
Brewer et al. (201,8),,,,,2,CTL,H,PB,RW,Ponsse B,ear,H8,No,No,-,Clearcutting,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,CTL,H,PB,RW,Ponsse B,eaver,H6,No,No,-,Clearcutting,,,,
,,,,,,,,,,,,,,,,,,,,,
Brown et al. (2013,),,,,,-,FT,FB,PB,CT,Valmet 4,75EXL,Quadco hotsaw,No,No,-,Clearcutting,,,,
,,,,,,,,,,,,,,,,,,,,,
Carter et al. (2017,),,,,,-,FT,FB,PB,CT,John Dee,re 653G,-,No,Yes,P-14.4 hours,Clearcutting,,,,
,,,,,,,,,,,,,,,,,,,,,
Chakroun et al. (2,016),,*Trees could,be cut,in two,-,*FT,FB,EB,CT,Doosan 1,40 lcr,"Jacquier C360, Sève S350",No,Yes,-,"Includes Coppice,",Clearc,utti,ng An,d Thin
,,,,,,,,,,,,,,,,,,,,,
,,,parts,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Chung et al. (2022,),,,,,-,FT,FB,PB,CT,Tigercat,LS855E,-,No,No,P-3.8 hours,Clearcutting,,,,
,,,,,,,,,,,,,,,,,,,,,
Di Fulvio & Bergs,tröm,(2013),The same ma,chine,but with,-,CTL,HW,PB,RW,Ponsse D,ual,Ponsse H53e,No,Yes,T-23.9 hours,Thinning From Be,low,,,
,,,,,,,,,,,,,,,,,,,,,
,,,two different,proce,ssing,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,heads,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,-,CTL,HW,PB,RW,Ponsse D,ual,Ponsse EH25,No,Yes,-,Thinning From Be,low,,,
,,,,,,,,,,,,,,,,,,,,,
Erber et al. (2016),,,,,,-,CTL,H,PB,RW,Komatsu,911,Naarva EF 28,No,Yes,T-7.1 hours,Undergrowth Rem,oval,,,
,,,,,,,,,,,,,,,,,,,,,
Eriksson & Lindro,os (2,014),*Examples o,f mach,ine,>700,CTL,H,PB,RW,Valmet 9,01,-,No,-,T-3 years,Thinning (Cutting,Strips,Or,Ghost,Trails)
,,,,,,,,,,,,,,,,,,,,,
,,,models used,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,-,CTL,H,PB,RW,Komatsu,901,-,No,-,T-3 years,Thinning (Cutting,Strips,Or,Ghost,Trails)
,,,,,,,,,,,,,,,,,,,,,
,,,,,,-,CTL,H,PB,RW,John Dee,re 1070,-,No,-,T-3 years,Thinning (Cutting,Strips,Or,Ghost,Trails)
,,,,,,,,,,,,,,,,,,,,,
,,,,,,-,CTL,H,PB,RW,Valmet 9,11,-,No,-,T-3 years,Clearcutting (With,And,Wit,hout S,eed Tre
,,,,,,,,,,,,,,,,,,,,,
,,,,,,-,CTL,H,PB,RW,John Dee,re 1270,-,No,-,T-3 years,Clearcutting (With,And,Wit,hout S,eed Tre
,,,,,,,,,,,,,,,,,,,,,
Fernandez-Lacruz,et al.,(2013),,,,-,FT,FB,PB,RW,Skogsjan,495,Bracke C16.b,No,Yes,P-14.34 hours,Powerline Corrido,r Clear,ing,,
,,,,,,,,,,,,,,,,,,,,,
Fernandez-Lacruz,et al.,(2021),*Taller trees,were b,ucked,-,*FT,FB,PB,RW,Rottne H,8,AFH Naarva-Grip 1500-25EH,No,Yes,P-2.51 hours,Roadside Verge Cl,earing,/Ha,rvestin,g
,,,,,,,,,,,,,,,,,,,,,
George et al. (202,2),,,,,-,CTL,H,PB,RW,Ponsse Sc,orpion King,-,No,No,-,Shelterwood Harv,est,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,-,CTL,H,PB,RW,John Dee,re 1270 G,-,No,No,-,Shelterwood Harv,est,,,
,,,,,,,,,,,,,,,,,,,,,
Ghaffariyan (2013,),,,,,-,FT,FB,PB,CT,Tigercat 5,11C,-,No,No,-,Clearcutting,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,-,FT,FB,PB,CT,Tigercat 8,22C,-,No,No,-,Clearcutting,,,,
,,,,,,,,,,,,,,,,,,,,,
Ghaffariyan et al.,(2019,),,,,-,CTL,H,-,-,-,,-,-,-,-,Thinning,,,,
,,,,,,,,,,,,,,,,,,,,,
Ghaffariyan et al.,(2013,),,,,-,FT,FB,PB,CT,Tigercat 8,45C,Tigercat 2001,No,No,-,Clearcutting,,,,
,,,,,,,,,,,,,,,,,,,,,
Ghaffariyan et al.,(2015,),,,,-,CTL,H,PB,CT,CAT 541,,Rosin RD977,No,No,-,Clearcutting,,,,
,,,,,,,,,,,,,,,,,,,,,
Green et al. (2020,),,,,,-,CTL,H,PB,RW,Ponsse B,ear,-,No,No,-,Thinning,,,,
,,,,,,,,,,,,,,,,,,,,,
Grönlund & Elias,son (2,019),,,,-,CTL,H,PB,RW,Valmet 9,01.4,SP 250,No,Yes,-,Shelterwood Harv,est,,,
