,,,,,-,CTL,H,PB,RW,Rottne H20,,Rottne EGS700,No,No,-,Regeneration Cut,
,,,,,,,,,,,,,,,,,
,,,,,-,CTL,H,PB,CT,Impex Hann,ibal T50,Lako 1118,No,No,-,Regeneration Cut,
,,,,,,,,,,,,,,,,,
,,,,,-,CTL,H,PB,CT,Impex Hann,ibal T40,Ponsse H8,No,No,-,Regeneration Cut,
,,,,,,,,,,,,,,,,,
Labelle & H,u,ß (201,8),,-,CTL,H,PB,RW,Ponsse Bea,r,Ponsse H8,No,No,-,Regeneration Harvest,
,,,,,,,,,,,,,,,,,
Labelle et al.,(,2016),,,-,CTL,H,PB,CT,Landrich,,Ponsse H8,No,No,P-14.1 hours,Overstory Removal,
,,,,,,,,,,,,,,,,,
Labelle et al.,(,2019),,,-,CTL,H,PB,RW,TimberPro,620-E,LogMax 7000C,No,No,-,"Clearcutting, Selective C",utting
,,,,,,,,,,,,,,,,,
Laina et al. (,2,013),,,-,FT,FB,PB,RW,Timberjack,1070,"""harvesting head 745""",No,Yes,-,"Includes Coppice, Thinni",ng From B
,,,,,,,,,,,,,,,,,
,,,,,-,CTL,H,PB,RW,Timberjack,1270 C,"""harvesting head H270""""",No,No,-,"Includes Coppice, Thinni",ng From B
,,,,,,,,,,,,,,,,,
Laitila et al.,(,2016),,,-,CTL,H,PB,RW,Komatsu 90,1.4,Komatsu 350.1,No,Yes,-,"Clearcutting, Thinning",
,,,,,,,,,,,,,,,,,
Laitila & Vä,ä,täinen,(2014),,-,CTL,H,EB,CT,New Hollan,d Kobelco E,Naarva EF 28,No,Yes,-,Thinning,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,135 B SR L,CD,,,,,,
,,,,,,,,,,,,,,,,,
Laitila & Vä,ä,täinen,(2020),*Trees >8m cut in two parts,-,*FT,HW,PB,RW,Ponsse Buff,alo Dual,Moipu 300 F1,No,Yes,-,Harvesting/Clearing Of B,rushwood
,,,,,,,,,,,,,,,,,
Laitila & Vä,ä,täinen,(2021),,-,FT,FB,EB,CT,New Hollan,d Kobelco E,Risupeto,No,Yes,-,Harvesting Overgrowth B,rushwood
,,,,,,,,,,,,,,,,,
,,,,,,,,,,200 SR,,,,,,,
,,,,,,,,,,,,,,,,,
Laitila & Vä,ä,täinen,(2023),,-,FT,FB,EB,CT,Kobelco SK,140SRL-7,Risupeto II,No,Yes,-,Selective Thinning,
,,,,,,,,,,,,,,,,,
Laitila et al.,(,2013),,"*In one harvesting system, the",-,*CTL,H,PB,RW,Ponsse Cob,ra HS 10,Ponsse H53,No,No,-,Clearcutting,
,,,,,,,,,,,,,,,,,
,,,,whole tree is lifted up then,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,bucked,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Laitila et al.,(,2020),,,-,CTL,H,PB,RW,Komatsu 91,1.5,Komatsu C93,No,No,-,Clearcutting,
,,,,,,,,,,,,,,,,,
Lazdiņš et al,.,(2019),,,-,CTL,H,-,-,-,,-,No,-,T-22.5 hours,Thinning,
,,,,,,,,,,,,,,,,,
Lazdiņš (201,4,),,,-,CTL,H,PB,RW,Ponsse Fox,,H6,No,Yes,-,Ditch Cleaning/Harvestin,g
,,,,,,,,,,,,,,,,,
Lazdiņš et al,.,(2021),,,-,CTL,H,PB,RW,Vimek 404,T5,Keto Forst Silver,No,-,-,Thinning,
,,,,,,,,,,,,,,,,,
Lazdiņš et al,.,(2016),,,-,CTL,H,PB,RW,Vimek 404,T6,-,No,No,-,Precommercial Thinning,
,,,,,,,,,,,,,,,,,
Leszczyński,e,t al. (2,021),,-,CTL,H,EB,CT,Kubota KX,057-4,Arbro 400 S,No,-,-,Thinning,
,,,,,,,,,,,,,,,,,
Liski et al. (,20,20),,,-,CTL,H,PB,RW,Komatsu 90,1.4,340,No,-,-,Selective Thinning From,"Below, Cl"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Seed-Tree Cutting, Strip",Harvesting
,,,,,,,,,,,,,,,,,
,,,,,4,CTL,H,PB,RW,John Deere,1170E,H413,No,-,-,Selective Thinning From,"Below, Cl"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Seed-Tree Cutting, Strip",Harvesting
,,,,,,,,,,,,,,,,,
,,,,,3,CTL,H,PB,RW,John Deere,1170E,H460,No,-,-,Selective Thinning From,"Below, Cl"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Seed-Tree Cutting, Strip",Harvesting
,,,,,,,,,,,,,,,,,
,,,,,2,CTL,H,PB,RW,John Deere,1170E,H414,No,-,-,Selective Thinning From,"Below, Cl"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Seed-Tree Cutting, Strip",Harvesting
