,,2,CTL,H,PB,RW,E,"delimb,",bu,ck (s),a+bD₁
Kormanek &,Kępa (2016),1,CTL,H,PB,RW,E,fell (s),,,-a+bD₁
,,,,,,,,,,,
Krč et al. (20,15),1,CTL,H,PB,RW,E,"fell, pro",ce,ss (s),a+bO₄+cO₅+dO₆+eD₁
,,,,,,,,,,,d f
Labelle et al.,(2017),1,CTL,H,EB,CT,PV,(m³ PM,"h ⁻
0",¹),a-bD₁+cD₁ -eD₁
,,,,,,,,,,,d f
,,2,CTL,H,EB,CT,PV,(m³ PM,"h ⁻
0",¹),a-bD₁+cD₁ -eD₁
,,,,,,,,,,,b
,,3,CTL,H,EB,CT,PV,(m³ PM,"h ⁻
0",¹),aD₁
,,,,,,,,,,,b
,,4,CTL,H,EB,CT,PV,(m³ PM,"h ⁻
0",¹),aD₁
,,,,,,,,,,,d
Labelle et al.,(2018),1,CTL,H,PB,RW,PV,(m³ PM,"h ⁻
0",¹),-a+bD₁-cD₁
,,,,,,,,,,,d
,,2,CTL,H,PB,RW,PV,(m³ PM,"h ⁻
0",¹),-a+bD₁-cD₁
,,,,,,,,,,,d
,,3,CTL,H,PB,CT,PV,(m³ PM,"h ⁻
0",¹),-a+bD₁-cD₁
,,,,,,,,,,,d
,,4,CTL,H,PB,CT,PV,(m³ PM,"h ⁻
0",¹),-a+bD₁-cD₁
,,,,,,,,,,,c
Labelle & Hu,ß (2018),1,CTL,H,PB,RW,PV,(m³ub P,M,"h ⁻¹)
0",aV₃-bV₃
,,,,,,,,,,,c
,,2,CTL,H,PB,RW,PV,(m³ub P,M,"h ⁻¹)
0",aV₃-bV₃
Labelle et al.,(2016),1,CTL,H,PB,CT,PV,(m³ PM,h⁻¹,),aD₁b
,,2,CTL,H,PB,CT,PV,(m³ PM,h⁻¹,),aD₁b
,,,,,,,,,,,d
Labelle et al.,(2019),1,CTL,H,PB,RW,PV,(m³ PM,"h ⁻
0",¹),-a+bD₁-cD₁
,,,,,,,,,,,d
,,2,CTL,H,PB,RW,PV,(m³ PM,"h ⁻
0",¹),-a+bD₁-cD₁
,,,,,,,,,,,d
,,3,CTL,H,PB,RW,PV,(m³ PM,"h ⁻
0",¹),-a+bD₁-cD₁
,,,,,,,,,,,d
,,4,CTL,H,PB,RW,PV,(m³ PM,"h ⁻
0",¹),a+bD₁-cD₁
,,,,,,,,,,,d
,,5,CTL,H,PB,RW,PV,(m³ PM,"h ⁻
0",¹),a+bV₆-cV₆
,,,,,,,,,,,d
,,6,CTL,H,PB,RW,PV,(m³ PM,"h ⁻
0",¹),a+bV₆-cV₆
,,,,,,,,,,,d
,,7,CTL,H,PB,RW,PV,(m³ PM,"h ⁻
0",¹),a+bV₆-cV₆
,,,,,,,,,,,d
,,8,CTL,H,PB,RW,PV,(m³ PM,"h ⁻
0",¹),a+bV₆-cV₆
Laina et al. (2,013),1,CTL,H,PB,RW,PW,(ODton,h⁻,¹),(aD₁b)/((-c+dD₁)e)
,,2,FT,FB,PB,RW,PW,(ODton,h⁻,¹),(aD₁bN₃)/(-c+d/N₃e)
Laitila et al. (,2016),1,CTL,H,PB,RW,M,move (s,tr,ee⁻¹),a-bln(I₃)
,,2,CTL,H,PB,RW,M,move (s,tr,ee⁻¹),-a+b(c/I₃)
,,3,CTL,H,PB,RW,E,fell (s tr,ee⁻,¹),a-bN₉
,,4,CTL,H,PB,RW,E,fell (s tr,ee⁻,¹),a-bN₉
,,,,,,,,,,,
,,5,CTL,H,PB,RW,E,process,(s,tree⁻¹),a+bV₂
